,Stock,Close,12EMA,26EMA,MACDHist,SignalMACD,CloseSlope,ShortEMASlope,LongEMASlope,MACDHistSlope,SignalMACDSlope,PositiveIndicator
0,VAIBHAVGBL.NS,827.5,845.0385061253821,847.3096395693115,-2.2711334439293296,-4.258983637838153,-4.54998779296875,-3.1888192955241266,-1.5847711655449075,-2.93821875787944,1.6325292704418706,1
1,SUNTECK.NS,286.8999938964844,275.983610793425,274.2620808833459,1.7215299100790844,2.362535971656334,8.399993896484375,1.9847969278289384,1.0110330410510642,2.4692959333802946,-1.0210164704338545,4
2,JUBLFOOD.NS,3032.5,3033.2877683755596,2972.3303639705446,60.95740440501504,-50.69343053313785,-23.25,-0.14323061373852397,4.813570882356544,126.87161030612515,-2.5659934679693066,2
3,NFL.NS,68.4000015258789,67.93650520401482,65.02868995608658,2.907815247928241,-3.1436452930645364,0.3000030517578125,0.08427205852073882,0.2697049255833832,6.001063362919126,0.05895751128407367,5
4,IBREALEST.NS,100.5999984741211,95.60392496837079,90.72047987654011,4.88344509183068,-3.515251710305408,1.5,0.9083770010454941,0.7903614878064786,9.648874670422344,-0.34204834538131834,4
5,CHOLAFIN.NS,550.5,550.5401802902314,551.4498744097168,-0.9096941194853798,-0.3809982394253839,4.8499755859375,-0.007305507314754323,-0.07598995277737686,-1.8880726844333822,0.32267308972769093,2
6,EICHERMOT.NS,2677.64990234375,2605.157833463219,2553.3430664102434,51.81476705297564,-32.74621239537547,11.849853515625,13.18037616009633,9.944546874680782,100.39370482053573,-4.7671386644000435,4
7,BALRAMCHIN.NS,302.5,302.8513313188652,294.6205548641225,8.230776454742738,-12.214458594310143,-1.20001220703125,-0.06387842161183244,0.6303556108701969,17.155786941967506,0.9959205348918498,3
8,JAMNAAUTO.NS,79.75,79.00963160637767,75.46689565003473,3.5427359563429377,-2.975312768730336,-0.3000030517578125,0.13461243520406185,0.342648347997212,7.2935078254790255,-0.1418557969031502,3
9,CENTURYPLY.NS,398.29998779296875,395.68602478617123,376.73646869405184,18.949556092119394,-19.11733969730301,-3.75,0.4752660012359229,1.7250815279133462,39.14892771091621,0.04194590129590381,4
10,MINDTREE.BO,2376.25,2275.510628599177,2200.932775451691,74.57785314748571,-49.70696156266993,-41.550048828125,18.31624934560432,14.025377963864685,144.8648349132318,-6.217722896203952,3
11,LICHSGFIN.NS,482.25,457.7828892805661,442.8102357050066,14.972653575559491,-11.783721208625854,4.649993896484375,4.448565585351616,3.1551811435994637,28.65192270936683,-0.7972330917334087,4
12,VOLTAS.BO,1027.1500244140625,1003.0881538605968,993.9116653693259,9.176488491270902,-6.471539125100747,13.300048828125,4.374885555175638,2.659068723578912,16.63716015094508,-0.6762373415425396,4
13,ENDURANCE.NS,1480.6500244140625,1445.7056103286704,1403.6163477883779,42.089262540292566,-28.59179895011951,-12.25,6.353529833707626,6.1626941300546605,83.98768937693217,-3.374365897543271,3
14,SUPREMEIND.NS,2264.0,2227.243243094211,2177.8061371486556,49.43710594555523,-49.304586328046824,20.60009765625,6.6830467101435715,6.895509028107426,99.08667420907432,-0.03312990437710539,4
15,YESBANK.NS,13.449999809265137,13.457552900338088,13.688297005453236,-0.2307441051151482,0.2967389231093068,0.09999942779541016,-0.0013732892859916745,-0.01906377569504869,-0.4791786966393534,-0.01649870449853963,1
16,CONCOR.NS,695.0,653.9053665964149,623.1756462864931,30.72972030992173,-21.939712497633018,1.8499755859375,7.471751527924539,5.745948297080645,59.73363738899957,-2.1975019530721767,4
17,OBEROIRLTY.NS,608.5499877929688,588.0220750123955,574.6657433981101,13.35633161428541,-9.099432030304541,3.5,3.732347778285998,2.7107395515887447,25.691055001873565,-1.064224895995217,4
18,STAR.NS,759.7000122070312,790.1757733726927,811.5842020827632,-21.408428710070552,17.71185292000892,-3.54998779296875,-5.541047484665796,-4.150735190058526,-41.426545125533835,0.924143947515411,1
19,SOLARINDS.NS,1556.0,1395.2318282304689,1332.984587103049,62.247241127419784,-28.784981592162012,61.199951171875,29.230576685369442,17.841233031756246,113.10513860122637,-8.365564883814443,4
20,POWERINDIA.NS,1925.8499755859375,1856.9082205006728,1768.6578679383326,88.25035256234014,-79.64379402073851,-2.050048828125,12.534864560957203,12.575368611808472,176.54120917553155,-2.1516396354004144,3
21,CAPLIPOINT.NS,589.0999755859375,591.7344508316518,569.2496883287652,22.48476250288661,-27.766406536688283,0.54998779296875,-0.47899549922078677,1.5880229805737827,47.03654348556779,1.3204110084504173,4
22,POWERGRID.NS,225.5,226.39114569058455,224.0336994771558,2.3574462134287444,-3.2243879240665283,1.100006103515625,-0.16202648919721696,0.11730404182753773,4.9942229578822435,0.21673542765944598,4
23,GARFIBRES.NS,2840.949951171875,2821.855559558565,2755.8130538607447,66.04250569782016,-66.97280380429471,-0.650146484375,3.471707566056466,6.810951784890676,135.42425561447453,0.23257452661863454,4
24,HINDALCO.NS,395.20001220703125,390.9132924172415,384.01066257602815,6.902629841213354,-8.59314455106154,0.5,0.7794035981436309,0.8951479704802523,13.92100405476333,0.42262867746204513,5
25,INFY.NS,1372.0,1364.8552427729694,1352.776457048827,12.078785724142335,-5.620379883825461,-15.199951171875,1.2990467685510794,1.5378834360938072,24.3964081158274,-1.6146014600792196,3
26,AARTIDRUGS.NS,761.5,743.4766354875817,742.3712622037734,1.1053732838082624,-4.599872628053748,24.9000244140625,3.276975365894259,1.5302990236981486,0.4640702254204143,0.8736248360613708,5
