,Stock,Close,12EMA,26EMA,MACDHist,SignalMACD,CloseSlope,ShortEMASlope,LongEMASlope,MACDHistSlope,SignalMACDSlope
0,LUPIN.NS,1250.449951171875,1207.9395180944439,1175.343872264385,32.59564583005886,-34.05202537001424,41.25,7.729169650442145,6.008486312599189,63.47060832227476,0.36409488498884457
1,RBLBANK.NS,215.85000610351562,208.0732423103426,203.06365951558166,5.009582794760945,-2.7069027208838534,4.5500030517578125,1.4139570533041592,1.0229077270347204,9.628116263252451,-0.5756700184692733
2,SRTRANSFIN.NS,1409.949951171875,1419.049286753512,1400.3090400032847,18.740246750227243,-18.336979452206755,-1.35009765625,-1.654424651206682,0.7712728934873212,39.90619104514849,-0.10081682450512375
3,WELSPUNIND.NS,91.9000015258789,91.51917384134734,89.86025264754063,1.6589211938067052,-2.8294519672512393,4.599998474121094,0.06924139718756805,0.16317991026706125,3.4117809006929036,0.2926326933611332
4,AXISBANK.NS,737.0499877929688,733.4093306395737,721.3571782318567,12.052152407717017,-9.960907876670952,-8.10003662109375,0.6619376642536281,1.2554247648889714,24.697791916069377,-0.5228111327615181
5,CRISIL.NS,1973.9000244140625,1930.8928197678865,1911.2842373083934,19.608582459493164,-15.50889592717252,23.550048828125,7.819491753850343,5.0092629684536405,36.406936133589625,-1.0249216330801598
6,BEL.NS,149.35000610351562,148.21989609379887,144.69565402767506,3.5242420661238043,-4.593690552840332,2.4000091552734375,0.20547454722122893,0.3723481660672405,7.21535775109362,0.2673621216791311
7,TRIDENT.NS,15.949999809265137,16.115628671816566,15.649627660450427,0.4660010113661386,-0.6036591335701686,0.09999942779541016,-0.030114338645716998,0.024029771905176744,0.9861461332831709,0.034414530551007405
8,BAJFINANCE.NS,5786.35009765625,5647.971389415462,5511.749225427305,136.22216398815726,-131.40203989519603,1.55029296875,25.159765134688314,21.96806977831602,269.25263261994223,-1.2050310232403092
9,UBL.NS,1248.8499755859375,1260.5373262757169,1240.0613934827516,20.475932792965295,-24.021367267242116,-1.800048828125,-2.1249728526872786,0.7030865682547756,43.779925006872645,0.8863586185692007
10,PVR.NS,1309.75,1266.5161856468967,1231.2739859437227,35.24219970317404,-21.86937947100938,2.4000244140625,7.860693518746075,6.2780811245022505,68.90178701210425,-3.3432050580411676
11,HINDPETRO.NS,286.8999938964844,276.997419667191,265.65961303276356,11.337806634427466,-10.644045926607076,5.350006103515625,1.8004680416897259,1.6992304690976425,22.574375696262848,-0.17344017695509883
12,JBCHEPHARM.NS,1518.0,1445.9204778366857,1406.2031055820523,39.71737225463335,-36.53650738280189,41.3499755859375,13.105367666057191,8.943751553435732,75.27312839664523,-0.7952162179578721
13,SOLARINDS.NS,1563.300048828125,1396.3549126655648,1333.5253314606878,62.82958120487706,-28.90144960765347,68.5,30.353661120465404,18.381977389394933,113.68747867868365,-8.4820328993059
14,TIINDIA.NS,1181.5,1182.4640677282819,1180.741511272292,1.7225564559898885,-5.157283521264836,-7.8499755859375,-0.175285041505731,0.06067909821649664,3.6810770517020046,0.8586817663187372
15,GRANULES.NS,314.95001220703125,320.79404825799105,325.5885015998448,-4.794453341853739,3.1261730695383156,-1.0999755859375,-1.0625520092654597,-0.85107915142504,-9.377433825867058,0.41707006807885616
16,RAMCOCEM.NS,968.7999877929688,962.5551688006335,967.1607862133999,-4.605617412766378,5.547242739577202,18.5,1.1354216349700437,0.13113612636539074,-10.215520334137409,-0.23540633170270464
17,LT.NS,1460.5,1448.1770150477157,1422.8840507515795,25.292964296136233,-18.971484654116026,-14.1500244140625,2.2405427185969984,3.00927593987376,51.35466181354923,-1.5803699105050555
18,HONAUT.NS,41950.05078125,42478.736850775735,42763.46962882086,-284.73277804512327,298.73826984604017,432.0,-96.12473991377192,-65.07350780566776,-538.4143239821424,-3.501372950229211
19,STARCEMENT.NS,109.44999694824219,108.92774556766948,106.06000546766803,2.8677401000014413,-2.770643996386546,0.399993896484375,0.09495479646777483,0.27119931844593737,5.911724721981045,-0.024274025903724183
20,BSE.NS,918.7999877929688,860.7162961469714,780.9366037539725,79.77969239299898,-65.68100028167382,-13.9000244140625,10.560671208363146,11.029070723119617,160.02778430075443,-3.524673027831305
21,HINDUNILVR.NS,2351.550048828125,2351.058581716251,2359.92609545828,-8.867513742029132,6.644746520467813,-6.75,0.08935765670412366,-0.6700837304124434,-18.49446887117483,0.5556918053903308
22,IPCALAB.NS,2069.89990234375,2127.959432029533,2122.8641926636215,5.095239365911766,-26.238778078584144,4.25,-10.556278124687651,-4.237143225589534,16.50961363092165,5.285884678168095
23,CHAMBLFERT.NS,283.75,280.98859681889036,265.6814346041204,15.30716221476996,-15.740802559138578,3.0,0.5020733056562676,1.445485231670375,31.557736355554027,0.10841008609215308
24,FCONSUMER.NS,7.400000095367432,7.050959002836326,6.979195254256572,0.07176374857975354,0.006780285433577364,0.20000028610229492,0.06346201682383779,0.03366438728886845,0.11372986762453774,-0.019636008503332726
25,NFL.NS,68.5,67.95188958464884,65.03609725046593,2.9157923341829104,-3.1452407103154707,0.40000152587890625,0.09965643915475653,0.2771122199627314,6.009040449173796,0.05736209403313941
26,NAM-INDIA.NS,369.79998779296875,356.47111047126543,350.23339068608254,6.23771978518289,-4.2549185452821865,2.29998779296875,2.423432240309694,1.565327768550901,11.617335098606986,-0.49570030997517645
27,LAXMIMACH.NS,6589.25,6564.0757333512975,6492.998320747091,71.07741260420607,-62.74269062650073,10.60009765625,4.5771393906734374,7.70013434023258,145.2778201579713,-2.083680494426339
